File,Exp,Placuta,Trat,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err
909,3,1,nears,3.1467,0.6141,13.8645,0.368,56.8993,0.5415,0.0356,0.016,< LOD,0.0122,< LOD,0.0169,2.35,0.0261,4.492,0.0285,0.3568,0.0076,0.0167,0.0084,0.0077,0.0048,0.0664,0.0048,3.0505,0.0243,< LOD,0.0033,0.0052,0.0009,0.0029,0.0006,0.0062,0.0007,0.0008,0.0004,0.0009,0.0006,< LOD,0.0003,0.0089,0.0006,0.0168,0.0008,0.0025,0.0004,0.0251,0.001,0.0009,0.0005,< LOD,0.0013,< LOD,0.0009,0.0014,0.0012,,,< LOD,0.0011,< LOD,0.0027,< LOD,0.0031,0.0507,0.0085,< LOD,0.0106,0.0131,0.0129,< LOD,0.0002,< LOD,0.0054,< LOD,0.0019,,,,,< LOD,0.0013,< LOD,0.0011,< LOD,0.0011,< LOD,0.0013,< LOD,0.0009,< LOD,0.0008
910,3,1,nears,3.024,0.6064,13.9836,0.37,58.6616,0.5515,0.0404,0.0163,< LOD,0.0122,< LOD,0.0167,2.3722,0.0263,4.6076,0.0289,0.3816,0.0077,< LOD,0.008,0.0114,0.0048,0.063,0.0047,3.0887,0.0245,0.0034,0.0033,0.0043,0.0009,0.0034,0.0006,0.0056,0.0006,0.0009,0.0004,0.0012,0.0006,< LOD,0.0003,0.009,0.0006,0.0169,0.0007,0.0028,0.0004,0.0239,0.0009,0.0005,0.0005,< LOD,0.0014,< LOD,0.0009,0.0016,0.0012,< LOD,0.0013,< LOD,0.0011,< LOD,0.0027,< LOD,0.0032,0.0415,0.0084,< LOD,0.0107,< LOD,0.0129,< LOD,0.0002,< LOD,0.0054,< LOD,0.0018,< LOD,0.0016,0.0014,0.0008,< LOD,0.0013,< LOD,0.0012,< LOD,0.0011,< LOD,0.0013,< LOD,0.0009,< LOD,0.0007
911,3,2,matrice,2.9149,0.5799,11.0553,0.3276,48.6651,0.491,0.0216,0.0151,0.1069,0.0135,0.0514,0.018,1.8958,0.023,4.0084,0.0266,0.291,0.007,< LOD,0.0072,0.0054,0.0044,0.0564,0.0047,2.6565,0.0227,< LOD,0.0031,0.0043,0.001,0.0018,0.0007,0.0061,0.0007,< LOD,0.0005,0.0009,0.0007,< LOD,0.0003,0.0107,0.0007,0.0159,0.0008,0.0026,0.0005,0.028,0.0012,< LOD,0.0004,< LOD,0.0013,< LOD,0.0008,0.0011,0.0011,,,< LOD,0.0012,0.0031,0.0031,< LOD,0.0028,0.0686,0.0112,< LOD,0.0129,< LOD,0.0155,< LOD,0.0002,0.0059,0.0052,< LOD,0.0021,< LOD,0.0016,,,< LOD,0.0011,< LOD,0.0013,0.0017,0.0013,< LOD,0.0014,< LOD,0.0009,< LOD,0.001
912,3,2,matrice,3.0552,0.5839,11.7221,0.3374,50.7139,0.5037,0.0378,0.0157,0.094,0.0133,0.0638,0.0181,2.071,0.024,4.2065,0.0273,0.3233,0.0071,< LOD,0.0073,0.0067,0.0044,0.0603,0.0048,2.7293,0.023,< LOD,0.0031,0.0055,0.0011,0.0032,0.0007,0.007,0.0008,0.0009,0.0005,0.0018,0.0008,< LOD,0.0003,0.0107,0.0008,0.0162,0.0008,0.0022,0.0004,0.0268,0.0011,0.0008,0.0004,< LOD,0.0013,< LOD,0.0008,0.0013,0.0011,< LOD,0.0015,< LOD,0.0012,< LOD,0.0032,< LOD,0.0028,0.0464,0.0108,< LOD,0.013,< LOD,0.0155,0.0003,0.0002,< LOD,0.0051,< LOD,0.0021,< LOD,0.0015,,,< LOD,0.0011,< LOD,0.0014,0.0016,0.0014,0.0019,0.0016,< LOD,0.0009,< LOD,0.0009
913,3,2,matrice,2.6751,0.5906,10.7175,0.3241,47.901,0.4866,0.0225,0.0153,0.0966,0.0134,0.0544,0.0181,1.8534,0.0227,3.9197,0.0263,0.2952,0.007,< LOD,0.0072,0.009,0.0044,0.0553,0.0047,2.6097,0.0225,< LOD,0.0031,0.0056,0.0011,0.0034,0.0007,0.0059,0.0007,0.0007,0.0005,0.0011,0.0008,< LOD,0.0003,0.0113,0.0008,0.0152,0.0007,0.0028,0.0005,0.0282,0.0012,< LOD,0.0004,< LOD,0.0013,< LOD,0.0008,< LOD,0.0011,< LOD,0.0016,< LOD,0.0013,< LOD,0.0033,< LOD,0.0028,0.0572,0.0118,< LOD,0.0135,< LOD,0.0163,< LOD,0.0002,< LOD,0.0051,< LOD,0.0022,,,< LOD,0.0007,< LOD,0.0012,< LOD,0.0013,0.0019,0.0014,< LOD,0.0016,< LOD,0.0009,< LOD,0.001
914,3,2,lustru,3.4821,0.6321,12.264,0.3534,58.9319,0.5482,0.0339,0.0178,0.1653,0.0158,0.0452,0.0182,1.7944,0.0231,6.8962,0.0351,0.354,0.0077,0.0109,0.0084,0.0073,0.0051,0.0624,0.0049,3.1898,0.0256,0.007,0.0034,0.0051,0.001,0.0035,0.0007,0.0067,0.0008,0.0012,0.0005,0.0014,0.0007,0.0003,0.0003,0.0105,0.0007,0.0163,0.0007,0.0025,0.0004,0.0225,0.0009,0.0005,0.0004,< LOD,0.0013,< LOD,0.0009,0.0015,0.0011,< LOD,0.0014,< LOD,0.0011,< LOD,0.0029,< LOD,0.003,0.0487,0.0084,< LOD,0.0111,0.0148,0.0136,0.0003,0.0002,< LOD,0.0053,< LOD,0.002,< LOD,0.0016,,,< LOD,0.0013,< LOD,0.0012,0.0019,0.0013,< LOD,0.0013,0.0012,0.0009,< LOD,0.0005
915,3,2,lustru,3.2906,0.6428,12.6491,0.3585,56.9396,0.5379,0.0347,0.0182,0.2019,0.0166,0.0642,0.0185,1.8254,0.0232,6.7931,0.0348,0.3445,0.0076,0.0102,0.0081,0.0111,0.0048,0.0646,0.0048,3.1465,0.0254,< LOD,0.0033,0.0055,0.001,0.0031,0.0007,0.0069,0.0008,0.0008,0.0005,0.0016,0.0007,< LOD,0.0003,0.0117,0.0007,0.017,0.0007,0.0025,0.0004,0.0263,0.001,0.0005,0.0004,< LOD,0.0013,< LOD,0.0009,0.0012,0.0011,,,< LOD,0.0012,0.0047,0.003,< LOD,0.0029,0.0431,0.0087,< LOD,0.0115,0.0164,0.014,0.0003,0.0002,< LOD,0.0051,< LOD,0.002,< LOD,0.0016,,,< LOD,0.0012,< LOD,0.0012,< LOD,0.0013,< LOD,0.0013,< LOD,0.0008,0.0007,0.0006
916,3,2,lustru,3.7329,0.6446,12.7827,0.3605,59.1918,0.5501,0.0393,0.018,0.1985,0.0164,0.0431,0.0182,1.8201,0.0233,7.0078,0.0354,0.3616,0.0077,0.0144,0.0085,0.0111,0.0049,0.0674,0.0049,3.2609,0.0259,0.0039,0.0034,0.005,0.0009,0.0038,0.0007,0.007,0.0008,0.001,0.0005,0.0009,0.0007,< LOD,0.0003,0.0112,0.0007,0.0165,0.0007,0.0026,0.0004,0.0245,0.0009,0.0008,0.0004,< LOD,0.0013,< LOD,0.0009,,,,,< LOD,0.0012,0.0032,0.003,< LOD,0.003,0.0428,0.0085,< LOD,0.0114,< LOD,0.0141,< LOD,0.0002,< LOD,0.0051,< LOD,0.002,,,,,< LOD,0.0012,< LOD,0.0011,0.0018,0.0012,< LOD,0.0015,< LOD,0.0008,< LOD,0.0005
917,3,3,lustru,4.3241,0.669,15.417,0.394,65.6921,0.5911,0.0432,0.0178,0.0243,0.0134,< LOD,0.0171,2.3673,0.0268,6.4272,0.0342,0.4064,0.008,0.0119,0.0086,0.0072,0.0052,0.0614,0.0046,3.4216,0.0262,< LOD,0.0034,0.0051,0.0009,0.0028,0.0007,0.0076,0.0008,0.0006,0.0004,0.001,0.0007,< LOD,0.0003,0.011,0.0007,0.0167,0.0007,0.0023,0.0004,0.02,0.0007,0.0014,0.0004,< LOD,0.0013,< LOD,0.0009,< LOD,0.0011,< LOD,0.0014,< LOD,0.0011,0.0028,0.0028,< LOD,0.0031,0.0393,0.0072,< LOD,0.0103,< LOD,0.0126,0.0002,0.0002,< LOD,0.0053,< LOD,0.002,,,,,< LOD,0.0014,< LOD,0.0012,0.0023,0.0013,< LOD,0.0013,0.001,0.0008,< LOD,0.0003
918,3,3,lustru,4.6601,0.6669,14.8591,0.3866,64.5591,0.5838,0.052,0.0178,0.0201,0.013,< LOD,0.0169,2.3085,0.0263,6.48,0.0343,0.3953,0.008,0.0112,0.0088,0.0085,0.0052,0.062,0.0047,3.3683,0.026,0.0048,0.0034,0.0057,0.0009,0.003,0.0007,0.0063,0.0008,0.001,0.0005,0.001,0.0006,< LOD,0.0003,0.0102,0.0007,0.0165,0.0007,0.0024,0.0004,0.0197,0.0007,0.0011,0.0004,< LOD,0.0013,< LOD,0.0009,0.0016,0.0011,,,< LOD,0.0011,< LOD,0.0027,< LOD,0.003,0.0424,0.0074,< LOD,0.0104,0.0185,0.0126,< LOD,0.0002,< LOD,0.0052,< LOD,0.002,< LOD,0.0016,,,< LOD,0.0014,< LOD,0.0011,0.0021,0.0012,< LOD,0.0012,< LOD,0.0008,< LOD,0.0003
